"","family","_date","sales"
"1","SEAFOOD",2015-07-29,5.712
"2","SEAFOOD",2015-01-03,69.622
"3","SEAFOOD",2015-09-05,33.56
"4","SEAFOOD",2015-08-04,30.763
"5","SEAFOOD",2015-04-09,102.01
"6","SEAFOOD",2015-07-15,33.109
"7","SEAFOOD",2015-06-13,17
"8","SEAFOOD",2015-02-18,3
"9","SEAFOOD",2015-01-07,47.781002
"10","SEAFOOD",2015-05-28,133.888
"11","SEAFOOD",2015-05-25,22.619
"12","SEAFOOD",2015-02-11,1
"13","SEAFOOD",2015-08-14,38.575
"14","SEAFOOD",2015-06-08,86.554
"15","SEAFOOD",2015-04-28,1
"16","SEAFOOD",2015-05-15,152.096
"17","SEAFOOD",2015-09-12,30.447
"18","SEAFOOD",2015-05-14,86.997
"19","SEAFOOD",2015-01-20,37.975
"20","SEAFOOD",2015-04-17,47.841
"21","SEAFOOD",2015-04-15,18.868
"22","SEAFOOD",2015-04-03,46.227
"23","SEAFOOD",2015-03-13,47.123
"24","SEAFOOD",2015-07-15,25.636
"25","SEAFOOD",2015-08-27,8.531
"26","SEAFOOD",2015-03-08,99.65
"27","SEAFOOD",2015-05-31,79.023
"28","SEAFOOD",2015-04-26,18.639
"29","SEAFOOD",2015-08-03,79.514
"30","SEAFOOD",2015-07-22,51.709
"31","SEAFOOD",2015-05-21,38.591
"32","SEAFOOD",2015-04-26,80.513
"33","SEAFOOD",2015-08-18,1
"34","SEAFOOD",2015-01-18,34.545
"35","SEAFOOD",2015-03-29,11.702
"36","SEAFOOD",2015-02-14,21.686
"37","SEAFOOD",2015-04-05,17.144001
"38","SEAFOOD",2015-08-22,30.835999
"39","SEAFOOD",2015-02-10,1
"40","SEAFOOD",2015-08-15,25.507
"41","SEAFOOD",2015-01-04,27.619
"42","SEAFOOD",2015-02-26,41.732998
"43","SEAFOOD",2015-02-10,92.647
"44","SEAFOOD",2015-07-06,36.941
"45","SEAFOOD",2015-06-03,7
"46","SEAFOOD",2015-07-27,102.763
"47","SEAFOOD",2015-03-25,3
"48","SEAFOOD",2015-02-06,64.749
"49","SEAFOOD",2015-08-13,82.46
"50","SEAFOOD",2015-04-11,9
"51","SEAFOOD",2015-08-10,42.905
"52","SEAFOOD",2015-09-08,48.662
"53","SEAFOOD",2015-05-07,59.907
"54","SEAFOOD",2015-01-25,17.698
"55","SEAFOOD",2015-01-18,122.888
"56","SEAFOOD",2015-03-31,30.167
"57","SEAFOOD",2015-04-21,29.246
"58","SEAFOOD",2015-04-04,29
"59","SEAFOOD",2015-01-22,5
"60","SEAFOOD",2015-01-31,69.867
"61","SEAFOOD",2015-08-05,37.556
"62","SEAFOOD",2015-08-23,54.252003
"63","SEAFOOD",2015-03-11,40.841
"64","SEAFOOD",2015-02-06,0
"65","SEAFOOD",2015-04-24,2
"66","SEAFOOD",2015-04-22,21.244
"67","SEAFOOD",2015-03-04,4
"68","SEAFOOD",2015-06-03,16.264
"69","SEAFOOD",2015-01-16,147.469
"70","SEAFOOD",2015-06-13,37.442
"71","SEAFOOD",2015-03-20,68.887
"72","SEAFOOD",2015-07-13,30.138
"73","SEAFOOD",2015-06-01,37.324
"74","SEAFOOD",2015-05-21,49.373
"75","SEAFOOD",2015-03-01,29.199001
"76","SEAFOOD",2015-01-08,52.364998
"77","SEAFOOD",2015-05-03,23.142
"78","SEAFOOD",2015-09-07,22.534
"79","SEAFOOD",2015-08-12,19.158
"80","SEAFOOD",2015-02-12,57.204
"81","SEAFOOD",2015-03-18,49.232
"82","SEAFOOD",2015-01-31,194.39099
"83","SEAFOOD",2015-04-07,4.026
"84","SEAFOOD",2015-09-15,137.201
"85","SEAFOOD",2015-08-13,1
"86","SEAFOOD",2015-04-25,7.979
"87","SEAFOOD",2015-01-21,13
"88","SEAFOOD",2015-07-22,22.121
"89","SEAFOOD",2015-09-15,11
"90","SEAFOOD",2015-01-04,32.614
"91","SEAFOOD",2015-05-04,1
"92","SEAFOOD",2015-09-07,43.708
"93","SEAFOOD",2015-08-18,16.446
"94","SEAFOOD",2015-02-25,19.749
"95","SEAFOOD",2015-03-15,57.925
"96","SEAFOOD",2015-07-28,63.844
"97","SEAFOOD",2015-02-15,49.697
"98","SEAFOOD",2015-06-04,43.648003
"99","SEAFOOD",2015-04-06,36.672
"100","SEAFOOD",2015-01-12,12.65
"101","SEAFOOD",2015-01-14,30.586
"102","SEAFOOD",2015-08-23,8.988
"103","SEAFOOD",2015-06-14,19.728
"104","SEAFOOD",2015-01-04,66.987
"105","SEAFOOD",2015-04-16,51.656002
"106","SEAFOOD",2015-08-09,55.937
"107","SEAFOOD",2015-06-09,43.827
"108","SEAFOOD",2015-02-22,75.521996
"109","SEAFOOD",2015-03-09,45.416
"110","SEAFOOD",2015-05-08,13.371
"111","SEAFOOD",2015-02-10,29.257
"112","SEAFOOD",2015-02-07,149.668
"113","SEAFOOD",2015-02-14,26.203999
"114","SEAFOOD",2015-03-18,7.59
"115","SEAFOOD",2015-08-10,16.935001
"116","SEAFOOD",2015-06-22,8
"117","SEAFOOD",2015-07-23,22.204
"118","SEAFOOD",2015-03-23,55.245
"119","SEAFOOD",2015-04-30,74.631
"120","SEAFOOD",2015-02-17,35.282
"121","SEAFOOD",2015-08-06,3
"122","SEAFOOD",2015-06-08,21.286999
"123","SEAFOOD",2015-02-05,76.079
"124","SEAFOOD",2015-08-07,15.843
"125","SEAFOOD",2015-01-21,88.808
"126","SEAFOOD",2015-02-03,33.148
"127","SEAFOOD",2015-05-11,52.485
"128","SEAFOOD",2015-09-04,33.402
"129","SEAFOOD",2015-07-14,110.089005
"130","SEAFOOD",2015-06-05,49.065998
"131","SEAFOOD",2015-05-04,16.517
"132","SEAFOOD",2015-06-15,37.051003
"133","SEAFOOD",2015-02-26,9.158
"134","SEAFOOD",2015-06-12,72.89
"135","SEAFOOD",2015-06-07,3
"136","SEAFOOD",2015-04-01,32.529
"137","SEAFOOD",2015-05-11,29.446
"138","SEAFOOD",2015-01-08,35.249
"139","SEAFOOD",2015-08-31,49.043
"140","SEAFOOD",2015-03-08,75.786
"141","SEAFOOD",2015-06-06,40.852
"142","SEAFOOD",2015-07-23,10
"143","SEAFOOD",2015-03-01,69.147
"144","SEAFOOD",2015-01-14,2
"145","SEAFOOD",2015-02-02,35.35
"146","SEAFOOD",2015-09-11,55.852
"147","SEAFOOD",2015-08-06,16.39
"148","SEAFOOD",2015-04-16,16
"149","SEAFOOD",2015-08-12,27.374
"150","SEAFOOD",2015-07-29,13
"151","SEAFOOD",2015-03-07,97.807
"152","SEAFOOD",2015-08-19,94.562004
"153","SEAFOOD",2015-03-03,117.743004
"154","SEAFOOD",2015-06-06,18
"155","SEAFOOD",2015-07-12,32.746002
"156","SEAFOOD",2015-05-13,20
"157","SEAFOOD",2015-02-17,32.487
"158","SEAFOOD",2015-03-05,45.447998
"159","SEAFOOD",2015-02-05,134.714
"160","SEAFOOD",2015-01-02,33.503
"161","SEAFOOD",2015-05-15,38.402
"162","SEAFOOD",2015-06-24,11
"163","SEAFOOD",2015-04-26,44.272
"164","SEAFOOD",2015-01-24,39.991
"165","SEAFOOD",2015-03-02,35.756
"166","SEAFOOD",2015-04-04,19.572
"167","SEAFOOD",2015-09-08,9.3
"168","SEAFOOD",2015-05-20,26.078
"169","SEAFOOD",2015-07-28,30.173
"170","SEAFOOD",2015-04-23,51.816
"171","SEAFOOD",2015-07-31,35.538
"172","SEAFOOD",2015-02-14,25.557
"173","SEAFOOD",2015-08-09,31.050999
"174","SEAFOOD",2015-05-22,150.992
"175","SEAFOOD",2015-01-03,61.798
"176","SEAFOOD",2015-05-06,26.374
"177","SEAFOOD",2015-07-05,6
"178","SEAFOOD",2015-07-23,43.06
"179","SEAFOOD",2015-08-14,2
"180","SEAFOOD",2015-01-21,42.197
"181","SEAFOOD",2015-03-21,24.676
"182","SEAFOOD",2015-02-15,12.271
"183","SEAFOOD",2015-08-23,17.471
"184","SEAFOOD",2015-05-09,49.004
"185","SEAFOOD",2015-05-01,81.874
"186","SEAFOOD",2015-03-05,29.285
"187","SEAFOOD",2015-07-28,11.307
"188","SEAFOOD",2015-03-30,110.148
"189","SEAFOOD",2015-09-11,29.201
"190","SEAFOOD",2015-05-19,22.319
"191","SEAFOOD",2015-03-17,66.042
"192","SEAFOOD",2015-08-18,37.964
"193","SEAFOOD",2015-09-07,10.433001
"194","SEAFOOD",2015-04-05,54.37
"195","SEAFOOD",2015-04-15,42.472
"196","SEAFOOD",2015-07-18,14.823
"197","SEAFOOD",2015-05-24,33.260002
"198","SEAFOOD",2015-08-28,51.267998
"199","SEAFOOD",2015-08-26,10.781
"200","SEAFOOD",2015-01-02,106.586
"201","SEAFOOD",2015-07-07,33.931
"202","SEAFOOD",2015-08-30,53.225998
"203","SEAFOOD",2015-04-01,6
"204","SEAFOOD",2015-08-25,2
"205","SEAFOOD",2015-03-30,43.399002
"206","SEAFOOD",2015-06-18,4
"207","SEAFOOD",2015-09-06,77.548996
"208","SEAFOOD",2015-05-02,34
"209","SEAFOOD",2015-06-20,47.119
"210","SEAFOOD",2015-04-28,42.116
"211","SEAFOOD",2015-01-06,30.581
"212","SEAFOOD",2015-06-04,126.382
"213","SEAFOOD",2015-08-24,90.494
"214","SEAFOOD",2015-06-29,57.59
"215","SEAFOOD",2015-09-09,22.265
"216","SEAFOOD",2015-02-10,22.818
"217","SEAFOOD",2015-01-09,49.696
"218","SEAFOOD",2015-01-24,9
"219","SEAFOOD",2015-02-12,19.588
"220","SEAFOOD",2015-02-06,35.02
"221","SEAFOOD",2015-02-05,46.996
"222","SEAFOOD",2015-04-30,68.773
"223","SEAFOOD",2015-05-07,164.356
"224","SEAFOOD",2015-09-03,11.965
"225","SEAFOOD",2015-06-12,0
"226","SEAFOOD",2015-04-16,78.388
"227","SEAFOOD",2015-06-19,54.123
"228","SEAFOOD",2015-07-15,17.296999
"229","SEAFOOD",2015-01-17,163.695
"230","SEAFOOD",2015-04-09,32.023
"231","SEAFOOD",2015-05-30,88.112
"232","SEAFOOD",2015-03-13,80.825
"233","SEAFOOD",2015-04-03,52.875
"234","SEAFOOD",2015-08-10,31.429
"235","SEAFOOD",2015-05-20,19
"236","SEAFOOD",2015-03-27,107.661
"237","SEAFOOD",2015-06-05,36.316
"238","SEAFOOD",2015-09-06,4
"239","SEAFOOD",2015-01-07,90.895004
"240","SEAFOOD",2015-07-12,29.164
"241","SEAFOOD",2015-05-23,9
"242","SEAFOOD",2015-01-13,65.764
"243","SEAFOOD",2015-01-22,45.213
"244","SEAFOOD",2015-03-07,35.719
"245","SEAFOOD",2015-06-05,60.91
"246","SEAFOOD",2015-02-19,75.626
"247","SEAFOOD",2015-06-14,62.197998
"248","SEAFOOD",2015-01-09,23.538
"249","SEAFOOD",2015-06-11,0
"250","SEAFOOD",2015-06-26,143.183
"251","SEAFOOD",2015-06-16,7
"252","SEAFOOD",2015-01-08,71.88
"253","SEAFOOD",2015-02-22,27.164
"254","SEAFOOD",2015-07-16,73.096
"255","SEAFOOD",2015-08-24,45.488
"256","SEAFOOD",2015-01-01,19.319
"257","SEAFOOD",2015-08-01,59.554
"258","SEAFOOD",2015-03-20,81.891
"259","SEAFOOD",2015-01-30,76.612
"260","SEAFOOD",2015-06-21,3
"261","SEAFOOD",2015-01-14,12
"262","SEAFOOD",2015-02-26,0
"263","SEAFOOD",2015-06-02,36.482002
"264","SEAFOOD",2015-01-09,113.095
"265","SEAFOOD",2015-03-27,29.108
"266","SEAFOOD",2015-03-23,15.8
"267","SEAFOOD",2015-09-09,26.386
"268","SEAFOOD",2015-07-30,41.075
"269","SEAFOOD",2015-07-28,55.943
"270","SEAFOOD",2015-03-06,71.798996
"271","SEAFOOD",2015-07-26,84.507996
"272","SEAFOOD",2015-09-11,1
"273","SEAFOOD",2015-06-21,24
"274","SEAFOOD",2015-02-22,26.456
"275","SEAFOOD",2015-06-20,54.636
"276","SEAFOOD",2015-05-01,3
"277","SEAFOOD",2015-03-03,39.012
"278","SEAFOOD",2015-04-28,102.326996
"279","SEAFOOD",2015-04-11,66.756
"280","SEAFOOD",2015-03-06,137.406
"281","SEAFOOD",2015-03-03,32.924
"282","SEAFOOD",2015-09-14,26.212
"283","SEAFOOD",2015-04-04,8.944
"284","SEAFOOD",2015-06-28,110.11
"285","SEAFOOD",2015-04-27,64.463
"286","SEAFOOD",2015-01-15,13.43
"287","SEAFOOD",2015-02-12,40.864002
"288","SEAFOOD",2015-03-23,42.073997
"289","SEAFOOD",2015-05-18,34.477
"290","SEAFOOD",2015-01-13,13.01
"291","SEAFOOD",2015-03-20,67.062996
"292","SEAFOOD",2015-08-16,18.104
"293","SEAFOOD",2015-02-24,26.799
