"","family","_model_desc","_date","sales","_conf_lo","_conf_hi","as_of","date_start","date_end"
"1","SEAFOOD","PROPHET",2017-07-21,45.8282019136804,-12.6529326094151,104.309336436776,2024-05-14,2015-01-01,2017-08-15
"2","SEAFOOD","PROPHET",2017-06-29,26.6979816977587,-31.7831528253368,85.1791162208542,2024-05-14,2015-01-01,2017-08-15
"3","SEAFOOD","PROPHET",2017-06-27,30.9148318327097,-27.5663026903858,89.3959663558053,2024-05-14,2015-01-01,2017-08-15
"4","SEAFOOD","PROPHET",2017-08-08,27.4324946558875,-31.048639867208,85.913629178983,2024-05-14,2015-01-01,2017-08-15
"5","SEAFOOD","PROPHET",2017-08-13,41.3373677565704,-17.1437667665251,99.8185022796659,2024-05-14,2015-01-01,2017-08-15
"6","SEAFOOD","PROPHET",2017-07-24,30.874332555103,-27.6068019679925,89.3554670781985,2024-05-14,2015-01-01,2017-08-15
"7","SEAFOOD","PROPHET",2017-08-01,27.7802863801034,-30.7008481429921,86.2614209031989,2024-05-14,2015-01-01,2017-08-15
"8","SEAFOOD","PROPHET",2017-07-06,26.1829512612349,-32.2981832618606,84.6640857843304,2024-05-14,2015-01-01,2017-08-15
"9","SEAFOOD","PROPHET",2017-07-19,33.8693556611353,-24.6117788619602,92.3504901842308,2024-05-14,2015-01-01,2017-08-15
"10","SEAFOOD","PROPHET",2017-07-18,29.2451641481461,-29.2359703749494,87.7262986712416,2024-05-14,2015-01-01,2017-08-15
"11","SEAFOOD","PROPHET",2017-07-02,44.188944642883,-14.2921898802125,102.670079165979,2024-05-14,2015-01-01,2017-08-15
"12","SEAFOOD","PROPHET",2017-06-30,47.6743725518403,-10.8067619712552,106.155507074936,2024-05-14,2015-01-01,2017-08-15
"13","SEAFOOD","PROPHET",2017-08-09,32.1758361254506,-26.3052983976449,90.6569706485461,2024-05-14,2015-01-01,2017-08-15
"14","SEAFOOD","PROPHET",2017-08-04,44.3979890643365,-14.083145458759,102.879123587432,2024-05-14,2015-01-01,2017-08-15
"15","SEAFOOD","PROPHET",2017-07-14,46.4621301306164,-12.0190043924791,104.943264653712,2024-05-14,2015-01-01,2017-08-15
"16","SEAFOOD","PROPHET",2017-08-07,29.6425914695794,-28.8385430535161,88.1237259926749,2024-05-14,2015-01-01,2017-08-15
"17","SEAFOOD","PROPHET",2017-07-15,39.4479965414885,-19.033137981607,97.929131064584,2024-05-14,2015-01-01,2017-08-15
"18","SEAFOOD","PROPHET",2017-07-05,35.1511619648512,-23.3299725582443,93.6322964879467,2024-05-14,2015-01-01,2017-08-15
"19","SEAFOOD","PROPHET",2017-08-05,37.4181984713949,-21.0629360517006,95.8993329944904,2024-05-14,2015-01-01,2017-08-15
"20","SEAFOOD","PROPHET",2017-07-08,40.0920645594694,-18.3890699636261,98.5731990825649,2024-05-14,2015-01-01,2017-08-15
"21","SEAFOOD","PROPHET",2017-08-03,23.4436477106506,-35.0374868124449,81.9247822337461,2024-05-14,2015-01-01,2017-08-15
"22","SEAFOOD","PROPHET",2017-08-02,32.4023842969681,-26.0787502261274,90.8835188200636,2024-05-14,2015-01-01,2017-08-15
"23","SEAFOOD","PROPHET",2017-07-11,29.8718730420863,-28.6092614810092,88.3530075651818,2024-05-14,2015-01-01,2017-08-15
"24","SEAFOOD","PROPHET",2017-06-28,35.6090540009784,-22.8720805221171,94.0901885240739,2024-05-14,2015-01-01,2017-08-15
"25","SEAFOOD","PROPHET",2017-07-17,31.5493714359873,-26.9317630871082,90.0305059590829,2024-05-14,2015-01-01,2017-08-15
"26","SEAFOOD","PROPHET",2017-07-20,24.9000329807853,-33.5811015423102,83.3811675038808,2024-05-14,2015-01-01,2017-08-15
"27","SEAFOOD","PROPHET",2017-08-12,37.6366277876288,-20.8445067354667,96.1177623107243,2024-05-14,2015-01-01,2017-08-15
"28","SEAFOOD","PROPHET",2017-07-09,43.5643105385467,-14.9168239845488,102.045445061642,2024-05-14,2015-01-01,2017-08-15
"29","SEAFOOD","PROPHET",2017-08-11,44.4560015224876,-14.0251330006079,102.937136045583,2024-05-14,2015-01-01,2017-08-15
"30","SEAFOOD","PROPHET",2017-08-06,40.9489800181246,-17.5321545049709,99.4301145412201,2024-05-14,2015-01-01,2017-08-15
"31","SEAFOOD","PROPHET",2017-07-27,24.1653411859596,-34.3157933371359,82.6464757090551,2024-05-14,2015-01-01,2017-08-15
"32","SEAFOOD","PROPHET",2017-07-25,28.5508581579646,-29.9302763651309,87.0319926810601,2024-05-14,2015-01-01,2017-08-15
"33","SEAFOOD","PROPHET",2017-07-16,42.9272514777873,-15.5538830453082,101.408386000883,2024-05-14,2015-01-01,2017-08-15
"34","SEAFOOD","PROPHET",2017-07-01,40.6900505801168,-17.7910839429787,99.1711851032123,2024-05-14,2015-01-01,2017-08-15
"35","SEAFOOD","PROPHET",2017-07-07,47.1127267309162,-11.3684077921793,105.593861254012,2024-05-14,2015-01-01,2017-08-15
"36","SEAFOOD","PROPHET",2017-07-13,25.5277503980377,-32.9533841250578,84.0088849211332,2024-05-14,2015-01-01,2017-08-15
"37","SEAFOOD","PROPHET",2017-08-10,23.3527865090398,-35.1283480140557,81.8339210321353,2024-05-14,2015-01-01,2017-08-15
"38","SEAFOOD","PROPHET",2017-07-28,45.0753840168618,-13.4057505062337,103.556518539957,2024-05-14,2015-01-01,2017-08-15
"39","SEAFOOD","PROPHET",2017-07-26,33.1546991316264,-25.3264353914691,91.6358336547219,2024-05-14,2015-01-01,2017-08-15
"40","SEAFOOD","PROPHET",2017-07-23,42.2692371375809,-16.2118973855146,100.750371660676,2024-05-14,2015-01-01,2017-08-15
"41","SEAFOOD","PROPHET",2017-07-10,32.1802626279215,-26.300871895174,90.661397151017,2024-05-14,2015-01-01,2017-08-15
"42","SEAFOOD","PROPHET",2017-07-29,38.0365825931646,-20.444551929931,96.5177171162601,2024-05-14,2015-01-01,2017-08-15
"43","SEAFOOD","PROPHET",2017-08-15,28.1798698982518,-30.3012646248437,86.6610044213473,2024-05-14,2015-01-01,2017-08-15
